,Topic0,Topic1,Topic2,Topic3,dominant_topic,merge_col
Doc0,0.88,0.08,0.02,0.02,0,0
Doc1,0.02,0.01,0.96,0.01,2,1
Doc2,0.22,0.01,0.75,0.01,2,2
Doc3,0.96,0.01,0.01,0.01,0,3
Doc4,0.96,0.01,0.01,0.01,0,4
Doc5,0.95,0.02,0.02,0.02,0,5
Doc6,0.95,0.02,0.02,0.02,0,6
Doc7,0.95,0.01,0.02,0.01,0,7
Doc8,0.01,0.01,0.96,0.01,2,8
Doc9,0.95,0.02,0.02,0.02,0,9
Doc10,0.01,0.01,0.96,0.01,2,10
Doc11,0.96,0.01,0.02,0.01,0,11
Doc12,0.02,0.02,0.95,0.02,2,12
Doc13,0.96,0.01,0.01,0.01,0,13
Doc14,0.02,0.01,0.96,0.01,2,14
Doc15,0.96,0.01,0.01,0.01,0,15
Doc16,0.38,0.02,0.59,0.02,2,16
Doc17,0.95,0.02,0.02,0.02,0,17
Doc18,0.96,0.01,0.01,0.01,0,18
Doc19,0.94,0.02,0.02,0.02,0,19
Doc20,0.96,0.01,0.01,0.01,0,20
Doc21,0.02,0.02,0.95,0.02,2,21
Doc22,0.01,0.01,0.96,0.01,2,22
Doc23,0.01,0.01,0.96,0.01,2,23
Doc24,0.01,0.01,0.96,0.01,2,24
Doc25,0.04,0.03,0.9,0.03,2,25
Doc26,0.02,0.02,0.95,0.02,2,26
Doc27,0.95,0.02,0.02,0.02,0,27
Doc28,0.95,0.02,0.02,0.02,0,28
Doc29,0.96,0.01,0.01,0.01,0,29
Doc30,0.95,0.02,0.02,0.02,0,30
Doc31,0.96,0.01,0.01,0.01,0,31
Doc32,0.18,0.02,0.78,0.02,2,32
Doc33,0.88,0.08,0.02,0.02,0,33
Doc34,0.94,0.02,0.02,0.02,0,34
Doc35,0.95,0.02,0.02,0.02,0,35
Doc36,0.95,0.02,0.02,0.02,0,36
Doc37,0.02,0.02,0.94,0.02,2,37
Doc38,0.95,0.02,0.02,0.02,0,38
Doc39,0.96,0.01,0.01,0.01,0,39
Doc40,0.02,0.02,0.95,0.02,2,40
Doc41,0.02,0.01,0.95,0.01,2,41
Doc42,0.32,0.01,0.65,0.01,2,42
Doc43,0.02,0.02,0.95,0.02,2,43
Doc44,0.94,0.02,0.02,0.02,0,44
Doc45,0.01,0.01,0.96,0.01,2,45
Doc46,0.02,0.02,0.94,0.02,2,46
Doc47,0.23,0.02,0.73,0.02,2,47
Doc48,0.01,0.01,0.96,0.01,2,48
Doc49,0.96,0.01,0.02,0.01,0,49
Doc50,0.95,0.01,0.02,0.01,0,50
Doc51,0.94,0.02,0.02,0.02,0,51
Doc52,0.02,0.02,0.95,0.02,2,52
Doc53,0.25,0.01,0.73,0.01,2,53
Doc54,0.95,0.02,0.02,0.02,0,54
Doc55,0.96,0.01,0.02,0.01,0,55
Doc56,0.95,0.02,0.02,0.02,0,56
Doc57,0.02,0.02,0.95,0.02,2,57
Doc58,0.02,0.01,0.96,0.01,2,58
Doc59,0.02,0.02,0.95,0.02,2,59
Doc60,0.95,0.02,0.02,0.02,0,60
Doc61,0.02,0.02,0.94,0.02,2,61
Doc62,0.02,0.02,0.95,0.02,2,62
Doc63,0.95,0.02,0.02,0.02,0,63
Doc64,0.95,0.02,0.02,0.02,0,64
Doc65,0.5,0.01,0.47,0.01,0,65
Doc66,0.13,0.02,0.83,0.02,2,66
Doc67,0.02,0.02,0.94,0.02,2,67
Doc68,0.02,0.01,0.95,0.01,2,68
Doc69,0.96,0.01,0.01,0.01,0,69
Doc70,0.96,0.01,0.01,0.01,0,70
Doc71,0.94,0.02,0.02,0.02,0,71
Doc72,0.96,0.01,0.01,0.01,0,72
Doc73,0.43,0.01,0.55,0.01,2,73
Doc74,0.02,0.02,0.95,0.02,2,74
Doc75,0.96,0.01,0.01,0.01,0,75
Doc76,0.02,0.02,0.94,0.02,2,76
Doc77,0.02,0.02,0.95,0.02,2,77
Doc78,0.95,0.02,0.02,0.02,0,78
Doc79,0.95,0.02,0.02,0.02,0,79
Doc80,0.87,0.08,0.02,0.02,0,80
Doc81,0.02,0.02,0.95,0.02,2,81
Doc82,0.02,0.02,0.95,0.02,2,82
Doc83,0.24,0.02,0.73,0.02,2,83
Doc84,0.02,0.01,0.96,0.01,2,84
Doc85,0.34,0.02,0.63,0.02,2,85
Doc86,0.02,0.02,0.95,0.02,2,86
Doc87,0.93,0.02,0.03,0.02,0,87
Doc88,0.39,0.01,0.58,0.01,2,88
Doc89,0.96,0.01,0.01,0.01,0,89
Doc90,0.02,0.01,0.96,0.01,2,90
Doc91,0.02,0.01,0.95,0.01,2,91
Doc92,0.96,0.01,0.01,0.01,0,92
Doc93,0.96,0.01,0.01,0.01,0,93
Doc94,0.02,0.02,0.95,0.02,2,94
Doc95,0.94,0.02,0.02,0.02,0,95
Doc96,0.27,0.01,0.7,0.01,2,96
Doc97,0.03,0.01,0.95,0.01,2,97
Doc98,0.02,0.02,0.95,0.02,2,98
Doc99,0.93,0.01,0.04,0.01,0,99
Doc100,0.96,0.01,0.02,0.01,0,100
Doc101,0.02,0.01,0.95,0.01,2,101
Doc102,0.96,0.01,0.01,0.01,0,102
Doc103,0.34,0.01,0.63,0.01,2,103
Doc104,0.96,0.01,0.02,0.01,0,104
Doc105,0.01,0.01,0.96,0.01,2,105
Doc106,0.02,0.02,0.95,0.02,2,106
Doc107,0.02,0.01,0.96,0.01,2,107
Doc108,0.02,0.02,0.94,0.02,2,108
Doc109,0.96,0.01,0.01,0.01,0,109
Doc110,0.95,0.02,0.02,0.02,0,110
Doc111,0.95,0.01,0.02,0.01,0,111
Doc112,0.01,0.01,0.96,0.01,2,112
Doc113,0.02,0.02,0.95,0.02,2,113
Doc114,0.01,0.01,0.96,0.01,2,114
Doc115,0.14,0.01,0.83,0.01,2,115
Doc116,0.02,0.01,0.96,0.01,2,116
Doc117,0.95,0.02,0.02,0.02,0,117
Doc118,0.02,0.02,0.95,0.02,2,118
Doc119,0.95,0.02,0.02,0.02,0,119
Doc120,0.02,0.01,0.96,0.01,2,120
Doc121,0.94,0.02,0.02,0.02,0,121
Doc122,0.94,0.02,0.02,0.02,0,122
Doc123,0.34,0.01,0.63,0.01,2,123
Doc124,0.02,0.02,0.95,0.02,2,124
Doc125,0.02,0.02,0.95,0.02,2,125
Doc126,0.95,0.02,0.02,0.02,0,126
Doc127,0.36,0.02,0.61,0.02,2,127
Doc128,0.54,0.01,0.44,0.01,0,128
Doc129,0.94,0.02,0.02,0.02,0,129
Doc130,0.95,0.02,0.02,0.02,0,130
Doc131,0.25,0.02,0.71,0.02,2,131
Doc132,0.95,0.02,0.02,0.02,0,132
Doc133,0.52,0.01,0.46,0.01,0,133
Doc134,0.02,0.02,0.93,0.02,2,134
Doc135,0.96,0.01,0.01,0.01,0,135
Doc136,0.96,0.01,0.02,0.01,0,136
Doc137,0.94,0.02,0.02,0.02,0,137
Doc138,0.96,0.01,0.01,0.01,0,138
Doc139,0.95,0.01,0.02,0.01,0,139
Doc140,0.96,0.01,0.02,0.01,0,140
Doc141,0.96,0.01,0.01,0.01,0,141
Doc142,0.02,0.02,0.94,0.02,2,142
Doc143,0.02,0.02,0.94,0.02,2,143
Doc144,0.46,0.01,0.52,0.01,2,144
Doc145,0.93,0.03,0.02,0.02,0,145
Doc146,0.95,0.02,0.02,0.02,0,146
Doc147,0.96,0.01,0.01,0.01,0,147
Doc148,0.96,0.01,0.01,0.01,0,148
Doc149,0.95,0.02,0.02,0.02,0,149
Doc150,0.95,0.02,0.02,0.02,0,150
Doc151,0.94,0.02,0.02,0.02,0,151
Doc152,0.96,0.01,0.02,0.01,0,152
Doc153,0.94,0.02,0.02,0.02,0,153
Doc154,0.01,0.01,0.96,0.01,2,154
Doc155,0.95,0.01,0.02,0.01,0,155
Doc156,0.96,0.01,0.01,0.01,0,156
Doc157,0.02,0.02,0.95,0.02,2,157
Doc158,0.02,0.01,0.96,0.01,2,158
Doc159,0.96,0.01,0.02,0.01,0,159
Doc160,0.95,0.02,0.02,0.02,0,160
Doc161,0.95,0.02,0.02,0.02,0,161
Doc162,0.94,0.02,0.02,0.02,0,162
Doc163,0.3,0.02,0.65,0.02,2,163
Doc164,0.96,0.01,0.01,0.01,0,164
Doc165,0.28,0.02,0.68,0.02,2,165
Doc166,0.02,0.01,0.96,0.01,2,166
Doc167,0.03,0.02,0.92,0.02,2,167
Doc168,0.95,0.02,0.02,0.02,0,168
Doc169,0.95,0.02,0.02,0.02,0,169
Doc170,0.02,0.01,0.95,0.01,2,170
Doc171,0.96,0.01,0.01,0.01,0,171
Doc172,0.02,0.01,0.95,0.01,2,172
Doc173,0.95,0.02,0.02,0.02,0,173
Doc174,0.02,0.02,0.95,0.02,2,174
Doc175,0.02,0.02,0.95,0.02,2,175
Doc176,0.02,0.02,0.95,0.02,2,176
Doc177,0.95,0.02,0.02,0.02,0,177
Doc178,0.94,0.02,0.02,0.02,0,178
Doc179,0.96,0.01,0.02,0.01,0,179
Doc180,0.95,0.02,0.02,0.01,0,180
Doc181,0.03,0.02,0.92,0.02,2,181
Doc182,0.96,0.01,0.01,0.01,0,182
Doc183,0.96,0.01,0.01,0.01,0,183
Doc184,0.96,0.01,0.01,0.01,0,184
Doc185,0.96,0.01,0.01,0.01,0,185
Doc186,0.27,0.01,0.7,0.01,2,186
Doc187,0.95,0.02,0.02,0.02,0,187
Doc188,0.01,0.01,0.96,0.01,2,188
Doc189,0.29,0.01,0.68,0.01,2,189
Doc190,0.96,0.01,0.01,0.01,0,190
Doc191,0.28,0.02,0.69,0.02,2,191
Doc192,0.95,0.02,0.02,0.02,0,192
Doc193,0.95,0.02,0.02,0.02,0,193
Doc194,0.94,0.02,0.02,0.02,0,194
Doc195,0.02,0.01,0.96,0.01,2,195
Doc196,0.96,0.01,0.01,0.01,0,196
Doc197,0.96,0.01,0.02,0.01,0,197
Doc198,0.02,0.01,0.96,0.01,2,198
Doc199,0.02,0.02,0.94,0.02,2,199
Doc200,0.02,0.01,0.95,0.01,2,200
Doc201,0.02,0.01,0.96,0.01,2,201
Doc202,0.35,0.01,0.62,0.01,2,202
Doc203,0.3,0.02,0.67,0.02,2,203
Doc204,0.94,0.02,0.02,0.02,0,204
Doc205,0.96,0.01,0.02,0.01,0,205
Doc206,0.95,0.02,0.02,0.02,0,206
Doc207,0.96,0.01,0.01,0.01,0,207
Doc208,0.02,0.01,0.96,0.01,2,208
Doc209,0.96,0.01,0.02,0.01,0,209
Doc210,0.95,0.01,0.02,0.01,0,210
Doc211,0.95,0.02,0.02,0.02,0,211
Doc212,0.01,0.01,0.96,0.01,2,212
Doc213,0.02,0.02,0.95,0.01,2,213
Doc214,0.56,0.02,0.41,0.02,0,214
Doc215,0.02,0.02,0.95,0.02,2,215
Doc216,0.01,0.01,0.96,0.01,2,216
Doc217,0.02,0.02,0.94,0.02,2,217
Doc218,0.19,0.02,0.77,0.02,2,218
Doc219,0.94,0.02,0.02,0.02,0,219
Doc220,0.42,0.02,0.55,0.02,2,220
Doc221,0.96,0.01,0.02,0.01,0,221
Doc222,0.96,0.01,0.01,0.01,0,222
Doc223,0.96,0.01,0.01,0.01,0,223
Doc224,0.95,0.02,0.02,0.02,0,224
Doc225,0.01,0.01,0.96,0.01,2,225
Doc226,0.95,0.02,0.02,0.02,0,226
Doc227,0.01,0.01,0.96,0.01,2,227
Doc228,0.02,0.02,0.94,0.02,2,228
Doc229,0.91,0.06,0.02,0.02,0,229
Doc230,0.02,0.02,0.95,0.02,2,230
Doc231,0.95,0.02,0.02,0.02,0,231
Doc232,0.95,0.02,0.02,0.02,0,232
Doc233,0.96,0.01,0.01,0.01,0,233
Doc234,0.02,0.01,0.95,0.01,2,234
Doc235,0.02,0.02,0.95,0.02,2,235
Doc236,0.95,0.02,0.02,0.02,0,236
Doc237,0.95,0.02,0.02,0.02,0,237
Doc238,0.02,0.02,0.95,0.02,2,238
Doc239,0.95,0.01,0.02,0.01,0,239
Doc240,0.95,0.02,0.02,0.02,0,240
Doc241,0.39,0.02,0.58,0.02,2,241
Doc242,0.94,0.02,0.02,0.02,0,242
Doc243,0.95,0.02,0.02,0.02,0,243
Doc244,0.02,0.01,0.96,0.01,2,244
Doc245,0.02,0.02,0.95,0.02,2,245
Doc246,0.95,0.02,0.02,0.02,0,246
Doc247,0.95,0.02,0.02,0.02,0,247
Doc248,0.95,0.02,0.02,0.02,0,248
Doc249,0.02,0.02,0.94,0.02,2,249
Doc250,0.95,0.02,0.02,0.02,0,250
Doc251,0.02,0.02,0.95,0.02,2,251
Doc252,0.95,0.02,0.02,0.02,0,252
Doc253,0.27,0.01,0.7,0.01,2,253
Doc254,0.96,0.01,0.01,0.01,0,254
Doc255,0.95,0.02,0.02,0.02,0,255
Doc256,0.9,0.06,0.02,0.02,0,256
Doc257,0.02,0.02,0.95,0.02,2,257
Doc258,0.02,0.02,0.95,0.02,2,258
Doc259,0.02,0.01,0.95,0.01,2,259
Doc260,0.96,0.01,0.02,0.01,0,260
Doc261,0.02,0.02,0.93,0.02,2,261
Doc262,0.96,0.01,0.02,0.01,0,262
Doc263,0.95,0.02,0.02,0.02,0,263
Doc264,0.02,0.01,0.95,0.01,2,264
Doc265,0.96,0.01,0.01,0.01,0,265
Doc266,0.95,0.02,0.02,0.02,0,266
Doc267,0.02,0.01,0.95,0.01,2,267
Doc268,0.95,0.02,0.02,0.02,0,268
Doc269,0.02,0.01,0.96,0.01,2,269
Doc270,0.95,0.02,0.02,0.02,0,270
Doc271,0.02,0.02,0.94,0.02,2,271
Doc272,0.95,0.02,0.02,0.02,0,272
Doc273,0.95,0.02,0.02,0.02,0,273
Doc274,0.02,0.02,0.95,0.02,2,274
Doc275,0.95,0.02,0.02,0.02,0,275
Doc276,0.96,0.01,0.01,0.01,0,276
Doc277,0.02,0.02,0.95,0.02,2,277
Doc278,0.96,0.01,0.01,0.01,0,278
Doc279,0.95,0.02,0.02,0.02,0,279
Doc280,0.01,0.01,0.96,0.01,2,280
Doc281,0.97,0.01,0.01,0.01,0,281
Doc282,0.96,0.01,0.02,0.01,0,282
Doc283,0.95,0.01,0.02,0.01,0,283
Doc284,0.95,0.01,0.02,0.01,0,284
Doc285,0.33,0.02,0.64,0.02,2,285
Doc286,0.96,0.01,0.01,0.01,0,286
Doc287,0.95,0.02,0.02,0.02,0,287
Doc288,0.96,0.01,0.02,0.01,0,288
Doc289,0.02,0.02,0.95,0.02,2,289
Doc290,0.95,0.02,0.02,0.02,0,290
Doc291,0.97,0.01,0.01,0.01,0,291
Doc292,0.01,0.01,0.96,0.01,2,292
Doc293,0.95,0.02,0.02,0.02,0,293
Doc294,0.94,0.02,0.02,0.02,0,294
Doc295,0.02,0.02,0.94,0.02,2,295
Doc296,0.34,0.01,0.63,0.01,2,296
Doc297,0.16,0.01,0.82,0.01,2,297
Doc298,0.96,0.01,0.02,0.01,0,298
Doc299,0.02,0.02,0.95,0.02,2,299
Doc300,0.51,0.02,0.46,0.02,0,300
Doc301,0.95,0.01,0.02,0.01,0,301
Doc302,0.33,0.01,0.64,0.01,2,302
Doc303,0.02,0.02,0.95,0.02,2,303
Doc304,0.59,0.01,0.38,0.01,0,304
Doc305,0.67,0.01,0.3,0.01,0,305
Doc306,0.95,0.02,0.02,0.02,0,306
Doc307,0.93,0.02,0.02,0.02,0,307
Doc308,0.02,0.01,0.95,0.01,2,308
Doc309,0.96,0.01,0.01,0.01,0,309
Doc310,0.96,0.01,0.02,0.01,0,310
Doc311,0.93,0.02,0.02,0.02,0,311
Doc312,0.95,0.02,0.02,0.02,0,312
Doc313,0.02,0.02,0.94,0.02,2,313
Doc314,0.53,0.02,0.44,0.02,0,314
Doc315,0.02,0.01,0.96,0.01,2,315
Doc316,0.19,0.02,0.78,0.02,2,316
Doc317,0.96,0.01,0.01,0.01,0,317
Doc318,0.95,0.02,0.02,0.02,0,318
Doc319,0.02,0.02,0.94,0.02,2,319
Doc320,0.89,0.07,0.02,0.02,0,320
Doc321,0.03,0.02,0.93,0.02,2,321
Doc322,0.96,0.01,0.01,0.01,0,322
Doc323,0.96,0.01,0.01,0.01,0,323
Doc324,0.95,0.02,0.02,0.02,0,324
Doc325,0.02,0.02,0.94,0.02,2,325
Doc326,0.02,0.02,0.93,0.02,2,326
Doc327,0.96,0.01,0.02,0.01,0,327
Doc328,0.02,0.01,0.95,0.01,2,328
Doc329,0.96,0.01,0.01,0.01,0,329
Doc330,0.02,0.01,0.96,0.01,2,330
Doc331,0.02,0.02,0.95,0.02,2,331
Doc332,0.96,0.01,0.01,0.01,0,332
Doc333,0.95,0.02,0.02,0.02,0,333
Doc334,0.96,0.01,0.01,0.01,0,334
Doc335,0.95,0.02,0.02,0.02,0,335
Doc336,0.96,0.01,0.02,0.01,0,336
Doc337,0.95,0.02,0.02,0.02,0,337
Doc338,0.95,0.02,0.02,0.02,0,338
Doc339,0.97,0.01,0.01,0.01,0,339
Doc340,0.95,0.01,0.02,0.01,0,340
Doc341,0.03,0.03,0.91,0.03,2,341
Doc342,0.96,0.01,0.02,0.01,0,342
Doc343,0.95,0.02,0.02,0.02,0,343
Doc344,0.02,0.01,0.95,0.01,2,344
Doc345,0.96,0.01,0.01,0.01,0,345
Doc346,0.01,0.01,0.96,0.01,2,346
Doc347,0.95,0.02,0.02,0.02,0,347
Doc348,0.96,0.01,0.01,0.01,0,348
Doc349,0.02,0.02,0.95,0.02,2,349
Doc350,0.96,0.01,0.01,0.01,0,350
Doc351,0.02,0.02,0.95,0.02,2,351
Doc352,0.02,0.02,0.95,0.02,2,352
Doc353,0.02,0.02,0.94,0.02,2,353
Doc354,0.02,0.01,0.96,0.01,2,354
Doc355,0.96,0.01,0.02,0.01,0,355
Doc356,0.21,0.01,0.77,0.01,2,356
Doc357,0.94,0.02,0.02,0.02,0,357
Doc358,0.02,0.02,0.93,0.02,2,358
Doc359,0.02,0.01,0.96,0.01,2,359
Doc360,0.02,0.02,0.94,0.02,2,360
Doc361,0.02,0.02,0.95,0.02,2,361
Doc362,0.95,0.02,0.02,0.02,0,362
Doc363,0.02,0.02,0.94,0.02,2,363
Doc364,0.02,0.02,0.94,0.02,2,364
Doc365,0.94,0.02,0.02,0.02,0,365
Doc366,0.02,0.02,0.95,0.02,2,366
Doc367,0.95,0.02,0.02,0.02,0,367
Doc368,0.02,0.01,0.96,0.01,2,368
Doc369,0.96,0.01,0.02,0.01,0,369
Doc370,0.96,0.01,0.01,0.01,0,370
Doc371,0.54,0.01,0.43,0.01,0,371
Doc372,0.96,0.01,0.01,0.01,0,372
Doc373,0.95,0.02,0.02,0.02,0,373
Doc374,0.1,0.01,0.87,0.01,2,374
Doc375,0.95,0.02,0.02,0.02,0,375
Doc376,0.95,0.01,0.02,0.01,0,376
Doc377,0.95,0.02,0.02,0.02,0,377
Doc378,0.96,0.01,0.01,0.01,0,378
Doc379,0.96,0.01,0.01,0.01,0,379
Doc380,0.95,0.02,0.02,0.02,0,380
Doc381,0.23,0.02,0.74,0.02,2,381
Doc382,0.38,0.01,0.6,0.01,2,382
Doc383,0.95,0.02,0.02,0.02,0,383
Doc384,0.95,0.02,0.02,0.02,0,384
Doc385,0.02,0.02,0.95,0.02,2,385
Doc386,0.95,0.02,0.02,0.02,0,386
Doc387,0.02,0.01,0.95,0.01,2,387
Doc388,0.95,0.02,0.02,0.02,0,388
Doc389,0.21,0.01,0.76,0.01,2,389
Doc390,0.02,0.02,0.95,0.02,2,390
Doc391,0.95,0.02,0.02,0.02,0,391
Doc392,0.01,0.01,0.96,0.01,2,392
Doc393,0.96,0.01,0.02,0.01,0,393
Doc394,0.02,0.02,0.95,0.02,2,394
Doc395,0.68,0.01,0.3,0.01,0,395
Doc396,0.95,0.02,0.02,0.02,0,396
Doc397,0.02,0.02,0.94,0.02,2,397
Doc398,0.95,0.02,0.02,0.02,0,398
Doc399,0.96,0.01,0.01,0.01,0,399
Doc400,0.02,0.02,0.95,0.02,2,400
Doc401,0.91,0.05,0.02,0.02,0,401
Doc402,0.88,0.08,0.02,0.02,0,402
Doc403,0.96,0.01,0.01,0.01,0,403
Doc404,0.96,0.01,0.02,0.01,0,404
Doc405,0.01,0.01,0.96,0.01,2,405
Doc406,0.02,0.02,0.94,0.02,2,406
Doc407,0.01,0.01,0.96,0.01,2,407
Doc408,0.95,0.02,0.02,0.02,0,408
Doc409,0.96,0.01,0.02,0.01,0,409
Doc410,0.95,0.02,0.02,0.02,0,410
Doc411,0.95,0.02,0.02,0.02,0,411
Doc412,0.31,0.01,0.66,0.01,2,412
Doc413,0.96,0.01,0.01,0.01,0,413
Doc414,0.96,0.01,0.01,0.01,0,414
Doc415,0.95,0.02,0.02,0.02,0,415
Doc416,0.96,0.01,0.01,0.01,0,416
Doc417,0.95,0.02,0.02,0.02,0,417
Doc418,0.02,0.01,0.96,0.01,2,418
Doc419,0.95,0.02,0.02,0.02,0,419
Doc420,0.94,0.02,0.02,0.02,0,420
Doc421,0.02,0.01,0.96,0.01,2,421
Doc422,0.02,0.02,0.94,0.02,2,422
Doc423,0.94,0.02,0.02,0.02,0,423
Doc424,0.95,0.02,0.02,0.02,0,424
Doc425,0.01,0.01,0.96,0.01,2,425
Doc426,0.03,0.02,0.93,0.02,2,426
Doc427,0.95,0.02,0.02,0.02,0,427
Doc428,0.95,0.02,0.02,0.02,0,428
Doc429,0.96,0.01,0.02,0.01,0,429
Doc430,0.01,0.01,0.96,0.01,2,430
Doc431,0.02,0.02,0.94,0.02,2,431
Doc432,0.95,0.02,0.02,0.02,0,432
Doc433,0.34,0.01,0.64,0.01,2,433
Doc434,0.95,0.02,0.02,0.02,0,434
Doc435,0.96,0.01,0.02,0.01,0,435
Doc436,0.02,0.02,0.95,0.02,2,436
Doc437,0.93,0.02,0.03,0.02,0,437
Doc438,0.27,0.01,0.7,0.01,2,438
Doc439,0.95,0.02,0.02,0.02,0,439
Doc440,0.95,0.02,0.02,0.02,0,440
Doc441,0.02,0.02,0.94,0.02,2,441
Doc442,0.02,0.02,0.93,0.02,2,442
Doc443,0.95,0.02,0.02,0.02,0,443
Doc444,0.2,0.02,0.76,0.02,2,444
Doc445,0.95,0.02,0.02,0.02,0,445
Doc446,0.94,0.02,0.02,0.02,0,446
Doc447,0.02,0.02,0.95,0.02,2,447
