,Topic0,Topic1,Topic2,Topic3,dominant_topic,merge_col
Doc448,0.02,0.02,0.94,0.02,2,448
Doc449,0.02,0.02,0.95,0.02,2,449
Doc450,0.02,0.01,0.95,0.01,2,450
Doc451,0.94,0.02,0.02,0.02,0,451
Doc452,0.02,0.02,0.95,0.02,2,452
Doc453,0.96,0.01,0.01,0.01,0,453
Doc454,0.96,0.01,0.01,0.01,0,454
Doc455,0.95,0.02,0.02,0.02,0,455
Doc456,0.02,0.02,0.95,0.02,2,456
Doc457,0.17,0.01,0.8,0.01,2,457
Doc458,0.96,0.01,0.02,0.01,0,458
Doc459,0.95,0.02,0.02,0.02,0,459
Doc460,0.96,0.01,0.02,0.01,0,460
Doc461,0.52,0.01,0.45,0.01,0,461
Doc462,0.02,0.02,0.95,0.02,2,462
Doc463,0.02,0.01,0.95,0.01,2,463
Doc464,0.02,0.01,0.95,0.01,2,464
Doc465,0.95,0.02,0.02,0.02,0,465
Doc466,0.95,0.01,0.02,0.01,0,466
Doc467,0.95,0.02,0.02,0.02,0,467
Doc468,0.22,0.01,0.75,0.01,2,468
Doc469,0.95,0.02,0.02,0.02,0,469
Doc470,0.02,0.01,0.96,0.01,2,470
Doc471,0.96,0.01,0.02,0.01,0,471
Doc472,0.95,0.02,0.02,0.02,0,472
Doc473,0.36,0.02,0.6,0.02,2,473
Doc474,0.96,0.01,0.01,0.01,0,474
Doc475,0.85,0.1,0.02,0.02,0,475
Doc476,0.94,0.02,0.02,0.02,0,476
Doc477,0.95,0.02,0.02,0.02,0,477
Doc478,0.02,0.01,0.96,0.01,2,478
Doc479,0.96,0.01,0.01,0.01,0,479
Doc480,0.96,0.01,0.01,0.01,0,480
Doc481,0.39,0.02,0.58,0.02,2,481
Doc482,0.24,0.01,0.73,0.01,2,482
Doc483,0.95,0.02,0.02,0.02,0,483
Doc484,0.02,0.01,0.96,0.01,2,484
Doc485,0.95,0.02,0.02,0.02,0,485
Doc486,0.96,0.01,0.01,0.01,0,486
Doc487,0.95,0.02,0.02,0.02,0,487
Doc488,0.96,0.01,0.01,0.01,0,488
Doc489,0.01,0.01,0.96,0.01,2,489
Doc490,0.02,0.01,0.95,0.01,2,490
Doc491,0.94,0.02,0.02,0.02,0,491
Doc492,0.31,0.02,0.66,0.02,2,492
Doc493,0.95,0.01,0.02,0.01,0,493
Doc494,0.95,0.02,0.02,0.02,0,494
Doc495,0.02,0.02,0.94,0.02,2,495
Doc496,0.02,0.02,0.95,0.02,2,496
Doc497,0.95,0.02,0.02,0.02,0,497
Doc498,0.94,0.02,0.02,0.02,0,498
Doc499,0.94,0.02,0.02,0.02,0,499
Doc500,0.02,0.02,0.94,0.02,2,500
Doc501,0.01,0.01,0.96,0.01,2,501
Doc502,0.02,0.02,0.95,0.02,2,502
Doc503,0.38,0.02,0.58,0.02,2,503
Doc504,0.02,0.01,0.96,0.01,2,504
Doc505,0.96,0.01,0.02,0.01,0,505
Doc506,0.94,0.02,0.02,0.02,0,506
Doc507,0.02,0.02,0.94,0.02,2,507
Doc508,0.94,0.02,0.02,0.02,0,508
Doc509,0.95,0.02,0.02,0.02,0,509
Doc510,0.95,0.02,0.02,0.02,0,510
Doc511,0.01,0.01,0.96,0.01,2,511
Doc512,0.95,0.01,0.02,0.01,0,512
Doc513,0.95,0.02,0.02,0.02,0,513
Doc514,0.01,0.01,0.96,0.01,2,514
Doc515,0.96,0.01,0.02,0.01,0,515
Doc516,0.94,0.02,0.02,0.02,0,516
Doc517,0.02,0.01,0.96,0.01,2,517
Doc518,0.94,0.02,0.02,0.02,0,518
Doc519,0.95,0.02,0.02,0.02,0,519
Doc520,0.02,0.01,0.95,0.01,2,520
Doc521,0.96,0.01,0.01,0.01,0,521
Doc522,0.96,0.01,0.02,0.01,0,522
Doc523,0.02,0.02,0.95,0.02,2,523
Doc524,0.95,0.02,0.02,0.02,0,524
Doc525,0.94,0.02,0.02,0.02,0,525
Doc526,0.02,0.02,0.95,0.02,2,526
Doc527,0.24,0.01,0.73,0.01,2,527
Doc528,0.96,0.01,0.01,0.01,0,528
Doc529,0.95,0.02,0.02,0.02,0,529
Doc530,0.95,0.02,0.02,0.02,0,530
Doc531,0.01,0.01,0.96,0.01,2,531
Doc532,0.96,0.01,0.01,0.01,0,532
Doc533,0.01,0.01,0.96,0.01,2,533
Doc534,0.95,0.01,0.02,0.01,0,534
Doc535,0.95,0.02,0.02,0.02,0,535
Doc536,0.15,0.02,0.82,0.02,2,536
Doc537,0.02,0.01,0.96,0.01,2,537
Doc538,0.02,0.02,0.95,0.02,2,538
Doc539,0.02,0.02,0.93,0.02,2,539
Doc540,0.96,0.01,0.02,0.01,0,540
Doc541,0.02,0.02,0.95,0.02,2,541
Doc542,0.95,0.02,0.02,0.02,0,542
Doc543,0.51,0.02,0.45,0.02,0,543
Doc544,0.95,0.01,0.02,0.01,0,544
Doc545,0.95,0.01,0.02,0.01,0,545
Doc546,0.95,0.02,0.02,0.02,0,546
Doc547,0.95,0.01,0.02,0.01,0,547
Doc548,0.02,0.01,0.95,0.01,2,548
Doc549,0.95,0.02,0.02,0.02,0,549
Doc550,0.96,0.01,0.02,0.01,0,550
Doc551,0.27,0.01,0.7,0.01,2,551
Doc552,0.02,0.01,0.96,0.01,2,552
Doc553,0.96,0.01,0.01,0.01,0,553
Doc554,0.95,0.02,0.02,0.02,0,554
Doc555,0.94,0.02,0.02,0.02,0,555
Doc556,0.36,0.02,0.6,0.02,2,556
Doc557,0.02,0.02,0.94,0.02,2,557
Doc558,0.95,0.02,0.02,0.02,0,558
Doc559,0.02,0.02,0.95,0.02,2,559
Doc560,0.89,0.07,0.02,0.02,0,560
Doc561,0.96,0.01,0.01,0.01,0,561
Doc562,0.02,0.01,0.95,0.01,2,562
Doc563,0.95,0.01,0.02,0.01,0,563
Doc564,0.95,0.02,0.02,0.02,0,564
Doc565,0.02,0.02,0.95,0.02,2,565
Doc566,0.96,0.01,0.01,0.01,0,566
Doc567,0.37,0.01,0.6,0.01,2,567
Doc568,0.96,0.01,0.01,0.01,0,568
Doc569,0.02,0.02,0.95,0.02,2,569
Doc570,0.95,0.02,0.02,0.02,0,570
Doc571,0.02,0.02,0.95,0.02,2,571
Doc572,0.94,0.02,0.02,0.02,0,572
Doc573,0.01,0.01,0.96,0.01,2,573
Doc574,0.95,0.02,0.02,0.02,0,574
Doc575,0.97,0.01,0.01,0.01,0,575
Doc576,0.92,0.05,0.02,0.02,0,576
Doc577,0.96,0.01,0.01,0.01,0,577
Doc578,0.27,0.02,0.69,0.02,2,578
Doc579,0.02,0.02,0.95,0.02,2,579
Doc580,0.02,0.02,0.95,0.02,2,580
Doc581,0.94,0.02,0.02,0.02,0,581
Doc582,0.94,0.02,0.02,0.02,0,582
Doc583,0.96,0.01,0.01,0.01,0,583
Doc584,0.96,0.01,0.01,0.01,0,584
Doc585,0.02,0.01,0.95,0.01,2,585
Doc586,0.02,0.02,0.95,0.02,2,586
Doc587,0.93,0.02,0.03,0.02,0,587
Doc588,0.14,0.02,0.83,0.02,2,588
Doc589,0.96,0.01,0.01,0.01,0,589
Doc590,0.89,0.08,0.02,0.02,0,590
Doc591,0.96,0.01,0.01,0.01,0,591
Doc592,0.96,0.01,0.02,0.01,0,592
Doc593,0.02,0.02,0.94,0.02,2,593
Doc594,0.95,0.02,0.02,0.02,0,594
Doc595,0.96,0.01,0.01,0.01,0,595
Doc596,0.95,0.02,0.02,0.02,0,596
Doc597,0.02,0.02,0.94,0.02,2,597
Doc598,0.96,0.01,0.01,0.01,0,598
Doc599,0.95,0.02,0.02,0.02,0,599
Doc600,0.95,0.02,0.02,0.02,0,600
Doc601,0.36,0.01,0.61,0.01,2,601
Doc602,0.96,0.01,0.02,0.01,0,602
Doc603,0.96,0.01,0.01,0.01,0,603
Doc604,0.95,0.02,0.02,0.02,0,604
Doc605,0.96,0.01,0.01,0.01,0,605
Doc606,0.96,0.01,0.01,0.01,0,606
Doc607,0.95,0.02,0.02,0.02,0,607
Doc608,0.63,0.02,0.34,0.02,0,608
Doc609,0.46,0.02,0.51,0.02,2,609
Doc610,0.2,0.02,0.76,0.02,2,610
Doc611,0.96,0.01,0.02,0.01,0,611
Doc612,0.96,0.01,0.02,0.01,0,612
Doc613,0.96,0.01,0.01,0.01,0,613
Doc614,0.02,0.01,0.96,0.01,2,614
Doc615,0.95,0.02,0.02,0.02,0,615
Doc616,0.95,0.02,0.02,0.02,0,616
Doc617,0.94,0.02,0.02,0.02,0,617
Doc618,0.96,0.01,0.01,0.01,0,618
Doc619,0.96,0.01,0.01,0.01,0,619
Doc620,0.95,0.02,0.02,0.02,0,620
Doc621,0.01,0.01,0.96,0.01,2,621
Doc622,0.96,0.01,0.01,0.01,0,622
Doc623,0.96,0.01,0.01,0.01,0,623
Doc624,0.96,0.01,0.01,0.01,0,624
Doc625,0.02,0.02,0.94,0.02,2,625
Doc626,0.96,0.01,0.02,0.01,0,626
Doc627,0.02,0.02,0.94,0.02,2,627
Doc628,0.88,0.08,0.02,0.02,0,628
Doc629,0.96,0.01,0.01,0.01,0,629
Doc630,0.02,0.02,0.93,0.02,2,630
Doc631,0.02,0.02,0.93,0.02,2,631
Doc632,0.02,0.02,0.95,0.02,2,632
Doc633,0.96,0.01,0.01,0.01,0,633
Doc634,0.95,0.02,0.02,0.02,0,634
Doc635,0.95,0.02,0.02,0.02,0,635
Doc636,0.95,0.02,0.02,0.02,0,636
Doc637,0.19,0.01,0.78,0.01,2,637
Doc638,0.96,0.01,0.01,0.01,0,638
Doc639,0.96,0.01,0.02,0.01,0,639
Doc640,0.02,0.01,0.96,0.01,2,640
Doc641,0.95,0.02,0.02,0.02,0,641
Doc642,0.95,0.02,0.02,0.02,0,642
Doc643,0.02,0.01,0.95,0.01,2,643
Doc644,0.9,0.05,0.02,0.02,0,644
Doc645,0.02,0.01,0.95,0.01,2,645
Doc646,0.02,0.02,0.95,0.02,2,646
Doc647,0.02,0.02,0.95,0.02,2,647
Doc648,0.32,0.01,0.66,0.01,2,648
Doc649,0.02,0.02,0.95,0.02,2,649
Doc650,0.02,0.01,0.96,0.01,2,650
Doc651,0.94,0.02,0.02,0.02,0,651
Doc652,0.21,0.02,0.76,0.02,2,652
Doc653,0.02,0.02,0.95,0.02,2,653
Doc654,0.96,0.01,0.01,0.01,0,654
Doc655,0.95,0.01,0.02,0.01,0,655
Doc656,0.02,0.01,0.96,0.01,2,656
Doc657,0.95,0.01,0.02,0.01,0,657
Doc658,0.94,0.02,0.02,0.02,0,658
Doc659,0.85,0.11,0.02,0.02,0,659
Doc660,0.02,0.02,0.95,0.02,2,660
Doc661,0.96,0.01,0.01,0.01,0,661
Doc662,0.01,0.01,0.97,0.01,2,662
Doc663,0.95,0.02,0.02,0.02,0,663
Doc664,0.44,0.01,0.53,0.01,2,664
Doc665,0.94,0.02,0.02,0.02,0,665
Doc666,0.95,0.02,0.02,0.02,0,666
Doc667,0.95,0.01,0.02,0.01,0,667
Doc668,0.96,0.01,0.01,0.01,0,668
Doc669,0.95,0.02,0.02,0.02,0,669
Doc670,0.02,0.02,0.95,0.02,2,670
Doc671,0.95,0.02,0.02,0.02,0,671
Doc672,0.31,0.01,0.66,0.01,2,672
Doc673,0.97,0.01,0.01,0.01,0,673
Doc674,0.02,0.02,0.94,0.02,2,674
Doc675,0.95,0.02,0.02,0.02,0,675
Doc676,0.96,0.01,0.02,0.01,0,676
Doc677,0.29,0.01,0.69,0.01,2,677
Doc678,0.02,0.02,0.95,0.02,2,678
Doc679,0.94,0.02,0.02,0.02,0,679
Doc680,0.02,0.02,0.94,0.02,2,680
Doc681,0.29,0.01,0.68,0.01,2,681
Doc682,0.09,0.01,0.88,0.01,2,682
Doc683,0.96,0.01,0.01,0.01,0,683
Doc684,0.95,0.02,0.02,0.02,0,684
Doc685,0.94,0.02,0.02,0.02,0,685
Doc686,0.95,0.02,0.02,0.02,0,686
Doc687,0.96,0.01,0.01,0.01,0,687
Doc688,0.96,0.01,0.01,0.01,0,688
Doc689,0.95,0.01,0.02,0.01,0,689
Doc690,0.94,0.02,0.02,0.02,0,690
Doc691,0.02,0.02,0.95,0.02,2,691
Doc692,0.02,0.01,0.95,0.01,2,692
Doc693,0.02,0.01,0.96,0.01,2,693
Doc694,0.46,0.02,0.51,0.02,2,694
Doc695,0.02,0.02,0.95,0.02,2,695
Doc696,0.01,0.01,0.96,0.01,2,696
Doc697,0.33,0.02,0.64,0.02,2,697
Doc698,0.95,0.02,0.02,0.02,0,698
Doc699,0.02,0.02,0.95,0.02,2,699
Doc700,0.96,0.01,0.02,0.01,0,700
Doc701,0.96,0.01,0.01,0.01,0,701
Doc702,0.95,0.02,0.02,0.02,0,702
Doc703,0.02,0.01,0.95,0.01,2,703
Doc704,0.89,0.07,0.02,0.02,0,704
Doc705,0.95,0.02,0.02,0.02,0,705
Doc706,0.95,0.02,0.02,0.02,0,706
Doc707,0.94,0.02,0.02,0.02,0,707
Doc708,0.96,0.01,0.01,0.01,0,708
Doc709,0.95,0.02,0.02,0.02,0,709
Doc710,0.94,0.02,0.02,0.02,0,710
Doc711,0.95,0.02,0.02,0.02,0,711
Doc712,0.95,0.02,0.02,0.02,0,712
Doc713,0.02,0.01,0.95,0.01,2,713
Doc714,0.02,0.02,0.95,0.02,2,714
Doc715,0.03,0.03,0.92,0.03,2,715
Doc716,0.02,0.02,0.95,0.02,2,716
Doc717,0.15,0.01,0.82,0.01,2,717
Doc718,0.02,0.02,0.95,0.02,2,718
Doc719,0.96,0.01,0.01,0.01,0,719
Doc720,0.95,0.02,0.02,0.02,0,720
Doc721,0.95,0.02,0.02,0.02,0,721
Doc722,0.94,0.02,0.02,0.02,0,722
Doc723,0.92,0.02,0.03,0.02,0,723
Doc724,0.96,0.01,0.01,0.01,0,724
Doc725,0.54,0.01,0.43,0.01,0,725
Doc726,0.01,0.01,0.96,0.01,2,726
Doc727,0.95,0.02,0.02,0.02,0,727
Doc728,0.94,0.02,0.02,0.02,0,728
Doc729,0.02,0.01,0.96,0.01,2,729
Doc730,0.9,0.06,0.02,0.02,0,730
Doc731,0.62,0.01,0.35,0.01,0,731
Doc732,0.02,0.01,0.95,0.01,2,732
Doc733,0.95,0.02,0.02,0.02,0,733
Doc734,0.95,0.02,0.02,0.02,0,734
Doc735,0.02,0.02,0.95,0.02,2,735
Doc736,0.01,0.01,0.96,0.01,2,736
Doc737,0.95,0.02,0.02,0.02,0,737
Doc738,0.02,0.01,0.95,0.01,2,738
Doc739,0.02,0.02,0.94,0.02,2,739
Doc740,0.33,0.02,0.63,0.02,2,740
Doc741,0.03,0.03,0.92,0.03,2,741
Doc742,0.02,0.02,0.95,0.02,2,742
Doc743,0.95,0.02,0.02,0.02,0,743
Doc744,0.02,0.01,0.95,0.01,2,744
Doc745,0.95,0.02,0.02,0.02,0,745
Doc746,0.95,0.02,0.02,0.02,0,746
Doc747,0.96,0.01,0.02,0.01,0,747
Doc748,0.95,0.02,0.02,0.02,0,748
Doc749,0.96,0.01,0.01,0.01,0,749
Doc750,0.02,0.02,0.95,0.02,2,750
Doc751,0.95,0.02,0.02,0.02,0,751
Doc752,0.96,0.01,0.01,0.01,0,752
Doc753,0.21,0.02,0.76,0.02,2,753
Doc754,0.96,0.01,0.02,0.01,0,754
Doc755,0.95,0.02,0.02,0.02,0,755
Doc756,0.95,0.02,0.02,0.02,0,756
Doc757,0.94,0.02,0.02,0.02,0,757
Doc758,0.96,0.01,0.01,0.01,0,758
Doc759,0.44,0.01,0.54,0.01,2,759
Doc760,0.95,0.02,0.02,0.02,0,760
Doc761,0.87,0.09,0.02,0.02,0,761
Doc762,0.02,0.02,0.95,0.02,2,762
Doc763,0.93,0.02,0.02,0.02,0,763
Doc764,0.25,0.01,0.72,0.01,2,764
Doc765,0.44,0.01,0.53,0.01,2,765
Doc766,0.96,0.01,0.02,0.01,0,766
Doc767,0.96,0.01,0.01,0.01,0,767
Doc768,0.96,0.01,0.01,0.01,0,768
Doc769,0.02,0.02,0.95,0.02,2,769
Doc770,0.9,0.05,0.02,0.02,0,770
Doc771,0.95,0.02,0.02,0.02,0,771
Doc772,0.96,0.01,0.01,0.01,0,772
Doc773,0.01,0.01,0.96,0.01,2,773
Doc774,0.95,0.02,0.02,0.02,0,774
Doc775,0.01,0.01,0.97,0.01,2,775
Doc776,0.95,0.02,0.02,0.02,0,776
Doc777,0.96,0.01,0.01,0.01,0,777
Doc778,0.02,0.01,0.96,0.01,2,778
Doc779,0.96,0.01,0.01,0.01,0,779
Doc780,0.02,0.01,0.96,0.01,2,780
Doc781,0.96,0.01,0.01,0.01,0,781
Doc782,0.02,0.02,0.94,0.02,2,782
Doc783,0.02,0.02,0.93,0.02,2,783
Doc784,0.95,0.02,0.02,0.02,0,784
Doc785,0.92,0.04,0.02,0.02,0,785
Doc786,0.15,0.01,0.83,0.01,2,786
Doc787,0.16,0.01,0.81,0.01,2,787
Doc788,0.95,0.02,0.02,0.02,0,788
Doc789,0.02,0.01,0.95,0.01,2,789
Doc790,0.95,0.02,0.02,0.02,0,790
Doc791,0.01,0.01,0.96,0.01,2,791
Doc792,0.02,0.02,0.94,0.02,2,792
Doc793,0.02,0.02,0.95,0.02,2,793
Doc794,0.01,0.01,0.96,0.01,2,794
Doc795,0.02,0.01,0.95,0.01,2,795
Doc796,0.96,0.01,0.01,0.01,0,796
Doc797,0.01,0.01,0.96,0.01,2,797
Doc798,0.01,0.01,0.97,0.01,2,798
Doc799,0.96,0.01,0.01,0.01,0,799
Doc800,0.9,0.03,0.04,0.03,0,800
Doc801,0.95,0.02,0.02,0.02,0,801
Doc802,0.96,0.01,0.01,0.01,0,802
Doc803,0.96,0.01,0.02,0.01,0,803
Doc804,0.02,0.01,0.96,0.01,2,804
Doc805,0.94,0.02,0.02,0.02,0,805
Doc806,0.96,0.01,0.01,0.01,0,806
Doc807,0.96,0.01,0.02,0.01,0,807
Doc808,0.02,0.02,0.95,0.02,2,808
Doc809,0.95,0.02,0.02,0.02,0,809
Doc810,0.01,0.01,0.96,0.01,2,810
Doc811,0.96,0.01,0.02,0.01,0,811
Doc812,0.02,0.01,0.96,0.01,2,812
Doc813,0.94,0.02,0.02,0.02,0,813
Doc814,0.96,0.01,0.01,0.01,0,814
Doc815,0.38,0.02,0.58,0.02,2,815
Doc816,0.96,0.01,0.02,0.01,0,816
Doc817,0.02,0.02,0.95,0.02,2,817
Doc818,0.96,0.01,0.02,0.01,0,818
Doc819,0.02,0.02,0.95,0.02,2,819
Doc820,0.01,0.01,0.96,0.01,2,820
Doc821,0.02,0.02,0.94,0.02,2,821
Doc822,0.02,0.01,0.96,0.01,2,822
Doc823,0.02,0.02,0.95,0.02,2,823
Doc824,0.01,0.01,0.96,0.01,2,824
Doc825,0.96,0.01,0.02,0.01,0,825
Doc826,0.94,0.02,0.02,0.02,0,826
Doc827,0.95,0.02,0.02,0.02,0,827
Doc828,0.95,0.01,0.02,0.01,0,828
Doc829,0.92,0.04,0.02,0.02,0,829
Doc830,0.02,0.01,0.96,0.01,2,830
Doc831,0.96,0.01,0.01,0.01,0,831
Doc832,0.37,0.01,0.61,0.01,2,832
Doc833,0.96,0.01,0.02,0.01,0,833
Doc834,0.95,0.02,0.02,0.02,0,834
Doc835,0.03,0.02,0.92,0.02,2,835
Doc836,0.96,0.01,0.01,0.01,0,836
Doc837,0.02,0.02,0.95,0.02,2,837
Doc838,0.93,0.02,0.02,0.02,0,838
Doc839,0.94,0.02,0.02,0.02,0,839
Doc840,0.95,0.02,0.02,0.02,0,840
Doc841,0.01,0.01,0.96,0.01,2,841
Doc842,0.96,0.01,0.01,0.01,0,842
Doc843,0.02,0.02,0.93,0.02,2,843
Doc844,0.96,0.01,0.01,0.01,0,844
Doc845,0.96,0.01,0.01,0.01,0,845
Doc846,0.95,0.02,0.02,0.02,0,846
Doc847,0.95,0.02,0.02,0.02,0,847
Doc848,0.95,0.02,0.02,0.02,0,848
Doc849,0.96,0.01,0.01,0.01,0,849
Doc850,0.02,0.01,0.95,0.01,2,850
Doc851,0.52,0.01,0.45,0.01,0,851
Doc852,0.96,0.01,0.01,0.01,0,852
Doc853,0.95,0.02,0.02,0.02,0,853
Doc854,0.02,0.01,0.95,0.01,2,854
Doc855,0.02,0.01,0.96,0.01,2,855
Doc856,0.02,0.01,0.95,0.01,2,856
Doc857,0.95,0.02,0.02,0.02,0,857
Doc858,0.94,0.02,0.02,0.02,0,858
Doc859,0.95,0.02,0.02,0.02,0,859
Doc860,0.94,0.02,0.02,0.02,0,860
Doc861,0.95,0.02,0.02,0.02,0,861
Doc862,0.95,0.02,0.02,0.02,0,862
Doc863,0.94,0.02,0.02,0.02,0,863
Doc864,0.95,0.02,0.02,0.02,0,864
Doc865,0.35,0.01,0.63,0.01,2,865
Doc866,0.02,0.02,0.95,0.02,2,866
Doc867,0.01,0.01,0.96,0.01,2,867
Doc868,0.95,0.01,0.02,0.01,0,868
Doc869,0.96,0.01,0.01,0.01,0,869
Doc870,0.19,0.02,0.78,0.02,2,870
Doc871,0.93,0.02,0.02,0.02,0,871
Doc872,0.02,0.02,0.95,0.02,2,872
Doc873,0.95,0.02,0.02,0.01,0,873
Doc874,0.01,0.01,0.96,0.01,2,874
Doc875,0.02,0.02,0.95,0.02,2,875
Doc876,0.02,0.02,0.95,0.02,2,876
Doc877,0.96,0.01,0.01,0.01,0,877
Doc878,0.02,0.02,0.93,0.02,2,878
Doc879,0.95,0.01,0.02,0.01,0,879
Doc880,0.02,0.01,0.95,0.01,2,880
Doc881,0.43,0.01,0.55,0.01,2,881
Doc882,0.19,0.02,0.78,0.02,2,882
Doc883,0.34,0.02,0.62,0.02,2,883
Doc884,0.96,0.01,0.01,0.01,0,884
Doc885,0.94,0.02,0.02,0.02,0,885
Doc886,0.02,0.02,0.93,0.02,2,886
Doc887,0.02,0.02,0.94,0.02,2,887
Doc888,0.95,0.02,0.02,0.02,0,888
Doc889,0.97,0.01,0.01,0.01,0,889
Doc890,0.96,0.01,0.01,0.01,0,890
